model,year,odometer,price,location,driveTrain,DAS,accident_history,paintJob,wheels,emi,zipCode,interior,state
Model S,2018,36438,53300,"Colma, CA",100D Long Range All-Wheel Drive,Autopilot,Previously Repaired,Red Multi-Coat Paint,"19"" Silver Slipstream Wheels",$824 /mo,85209,Cream Premium Interior,CA
Model S,2018,30180,59200,"Colma, CA",100D Long Range All-Wheel Drive,Previously Repaired,30-Day Premium Connectivity Trial,Midnight Silver Metallic Paint,"21"" Sonic Carbon Twin Turbine Wheels",$930 /mo,85209,Black Premium Interior,CA
Model S,2018,95696,36100,"Scottsdale, AZ",100D Long Range All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$514 /mo,85209,Black Premium Interior,AZ
Model S,2018,36438,53300,"Colma, CA",100D Long Range All-Wheel Drive,Autopilot,Previously Repaired,Red Multi-Coat Paint,"19"" Silver Slipstream Wheels",$824 /mo,85251,Cream Premium Interior,CA
Model S,2018,30180,59200,"Colma, CA",100D Long Range All-Wheel Drive,Previously Repaired,30-Day Premium Connectivity Trial,Midnight Silver Metallic Paint,"21"" Sonic Carbon Twin Turbine Wheels",$930 /mo,85251,Black Premium Interior,CA
Model S,2018,95696,36100,"Scottsdale, AZ",100D Long Range All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$514 /mo,85251,Black Premium Interior,AZ
Model S,2018,95696,36100,"Scottsdale, AZ",100D Long Range All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$514 /mo,85254,Black Premium Interior,AZ
Model S,2018,95696,36100,"Scottsdale, AZ",100D Long Range All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$514 /mo,85260,Black Premium Interior,AZ
Model S,2018,95696,36100,"Scottsdale, AZ",100D Long Range All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$514 /mo,85281,Black Premium Interior,AZ
Model S,2018,95696,36100,"Scottsdale, AZ",100D Long Range All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$514 /mo,85305,Black Premium Interior,AZ
Model S,2018,95696,36100,"Scottsdale, AZ",100D Long Range All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$514 /mo,85704,Black Premium Interior,AZ
Model S,2018,36438,53300,"Colma, CA",100D Long Range All-Wheel Drive,Autopilot,Previously Repaired,Red Multi-Coat Paint,"19"" Silver Slipstream Wheels",$824 /mo,91801,Cream Premium Interior,CA
Model S,2018,30180,59200,"Colma, CA",100D Long Range All-Wheel Drive,Previously Repaired,30-Day Premium Connectivity Trial,Midnight Silver Metallic Paint,"21"" Sonic Carbon Twin Turbine Wheels",$930 /mo,91801,Black Premium Interior,CA
Model S,2018,62440,34900,"Available to view in Lisle, IL",75D All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Obsidian Black Metallic Paint,"19"" Silver Slipstream Wheels",$493 /mo,93311,Cream Premium Interior,IL
Model S,2018,78029,35800,"Elk Grove Village, IL",100D Long Range All-Wheel Drive,Autopilot,Previously Repaired,Pearl White Multi-Coat Paint,"19"" Silver Slipstream Wheels",$509 /mo,93311,Cream Premium Interior,IL
